player_id,game_id,game_date,team_id,opponent_id,season,is_home,pts_avg_L5,pts_avg_L10,pts_std_L5,pts_std_L10,pts_avg_season,reb_avg_L5,reb_avg_L10,reb_std_L5,reb_std_L10,reb_avg_season,ast_avg_L5,ast_avg_L10,ast_std_L5,ast_std_L10,ast_avg_season,fg3m_avg_L5,fg3m_avg_L10,fg3m_std_L5,fg3m_std_L10,fg3m_avg_season,min_avg_L5,min_avg_L10,min_avg_season,pts_avg_home,pts_avg_away,reb_avg_home,reb_avg_away,ast_avg_home,ast_avg_away,opp_pts_allowed_avg,opp_reb_allowed_avg,opp_ast_allowed_avg,opp_fg3m_allowed_avg,days_rest,is_back_to_back,is_home,games_played_season,injury_severity,pace_L5
1642348,0022401157,2025-04-09,1610612755,1610612764,2024-25,0,,,,,,,,,,,,,,,,,,,,,,,,10.8,9.909090909090908,4.3,2.6818181818181817,1.95,1.3636363636363635,119.3,52.3,28.7,14.5,1.0,0,0,0,0,80.228
1642348,0022401173,2025-04-11,1610612755,1610612737,2024-25,1,,,,,,,,,,,,,,,,,,,,,,,,10.8,9.909090909090908,4.3,2.6818181818181817,1.95,1.3636363636363635,121.6,41.1,26.0,15.1,1.0,0,1,0,0,57.21600000000001
1642348,0022401191,2025-04-13,1610612755,1610612741,2024-25,1,,,,,,,,,,,,,,,,,,,,,,,,10.8,9.909090909090908,4.3,2.6818181818181817,1.95,1.3636363636363635,118.4,43.1,30.3,14.1,1.0,0,1,0,0,38.728
1642348,0022500083,2025-10-22,1610612755,1610612738,2025-26,0,9.6,15.2,4.929503017546496,6.98888005652153,10.113636363636363,4.2,4.4,3.1144823004794873,2.988868236194653,3.3636363636363638,2.0,2.0,1.8708286933869704,1.3333333333333337,1.5681818181818181,1.2,2.1,1.6431676725154982,1.728840330651992,1.5681818181818181,27.564,31.689999999999998,26.24477272727273,,,,,,,101.6,43.4,19.7,10.2,191.0,0,0,0,0,19.172
1642348,0022500102,2025-10-25,1610612755,1610612766,2025-26,1,6.2,13.3,4.38178046004133,8.300602387778849,9.88888888888889,3.6,4.2,3.646916505762094,3.2249030993194197,3.2888888888888888,1.4,1.8,1.9493588689617924,1.4757295747452441,1.5333333333333334,0.4,1.8,0.5477225575051657,1.813529401164726,1.5333333333333334,20.494,28.660000000000004,25.663777777777774,,,,,,,116.9,46.7,27.2,16.1,2.0,0,1,1,0,49.656
1642348,0022500114,2025-10-27,1610612755,1610612753,2025-26,1,5.6,11.7,3.507135583350038,7.273238618387268,9.869565217391305,2.4,3.8,3.2093613071762426,3.359894178227774,3.239130434782609,0.6,1.6,1.3416407864998734,1.5776212754932313,1.5,1.0,1.8,1.224744871391589,1.813529401164726,1.565217391304348,17.484,26.1,25.377173913043475,9.0,,1.0,,0.0,,110.6,43.2,23.5,11.8,1.0,0,1,2,0,71.958
1642348,0022500123,2025-10-28,1610612755,1610612764,2025-26,0,5.4,10.0,3.507135583350038,6.548960901462828,9.76595744680851,2.2,3.6,3.271085446759225,3.470510689285432,3.1914893617021276,0.8,1.4,1.3038404810405293,1.5055453054181622,1.4893617021276595,1.2,1.6,1.095445115010332,1.776388345929897,1.553191489361702,15.016,24.085,25.243191489361703,9.0,0.0,1.0,0.0,0.0,0.0,118.6,50.7,27.0,13.6,0.0,1,0,3,0,93.84
1642348,0022500021,2025-10-31,1610612755,1610612738,2025-26,1,4.4,8.4,3.2863353450309982,6.040603354706285,9.625,0.6,3.3,0.5477225575051662,3.653004851412662,3.125,0.2,1.2,0.4472135954999562,1.5491933384829673,1.4583333333333333,1.2,1.2,1.095445115010332,1.3165611772087666,1.5416666666666667,11.425999999999998,21.958,25.013125000000002,7.0,0.0,1.0,0.0,0.5,0.0,106.2,45.2,21.2,12.2,2.0,0,1,4,0,115.46600000000001
1642348,0022500149,2025-11-02,1610612755,1610612751,2025-26,0,3.8,6.7,3.4205262752974153,5.034326612809739,9.46938775510204,1.2,2.7,1.6431676725154982,2.8303906287138374,3.142857142857143,0.4,1.2,0.5477225575051647,1.5491933384829673,1.4489795918367347,1.0,1.1,1.224744871391589,1.3703203194062978,1.510204081632653,11.648,19.606,24.755306122448978,7.0,1.5,1.0,0.0,0.5,0.0,123.6,44.2,29.7,14.2,1.0,0,0,5,0,137.948
1642348,0022500167,2025-11-04,1610612755,1610612741,2025-26,0,,,,,,,,,,,,,,,,,,,,,,,,7.0,1.5,1.0,0.0,0.5,0.0,113.5,42.5,26.8,12.5,1.0,0,0,0,0,108.998
1642348,0022500171,2025-11-05,1610612755,1610612739,2025-26,0,4.2,5.2,2.949576240750527,3.675746333890717,9.32,1.2,2.4,1.6431676725154982,2.9514591494904883,3.08,0.6,1.0,0.5477225575051647,1.4142135623730956,1.44,1.0,0.7,1.224744871391589,0.9486832980505139,1.48,13.668000000000001,17.081,24.4642,7.0,1.6666666666666667,1.0,0.0,0.5,0.3333333333333333,114.4,43.9,27.0,13.6,0.0,1,0,6,0,86.696
1642348,0022500184,2025-11-08,1610612755,1610612761,2025-26,1,4.0,4.8,2.5495097567963945,3.011090610836313,9.294117647058824,1.6,2.0,1.8165902124584947,2.494438257849295,3.0784313725490198,0.8,0.7,0.4472135954999564,0.9486832980505147,1.4313725490196079,0.8,0.9,0.8366600265340752,0.9944289260117534,1.4901960784313726,14.447999999999999,15.966,24.305686274509803,5.333333333333333,1.6666666666666667,2.0,0.0,0.6666666666666666,0.3333333333333333,116.6,45.9,26.2,11.6,2.0,0,1,7,0,86.786
1642348,0022500195,2025-11-09,1610612755,1610612765,2025-26,1,,,,,,,,,,,,,,,,,,,,,,,,5.333333333333333,1.6666666666666667,2.0,0.0,0.6666666666666666,0.3333333333333333,110.6,43.9,22.0,12.1,0.0,1,1,0,0,89.724
1642348,0022500209,2025-11-11,1610612755,1610612738,2025-26,1,3.6,4.5,2.509980079602229,3.027650354097481,9.173076923076923,1.8,2.0,1.7888543819998317,2.494438257849295,3.0576923076923075,0.8,0.8,0.4472135954999564,0.9189365834726823,1.4230769230769231,0.8,1.0,0.8366600265340752,0.9428090415820635,1.4807692307692308,12.078,13.547,23.97730769230769,4.75,1.6666666666666667,2.0,0.0,0.75,0.3333333333333333,109.7,45.9,24.1,12.6,1.0,0,1,8,0,67.24199999999999
